LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.7

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	PICE.RUB	0.3			0.3287

>>	year	landtype	species	probEst	maxANPP	maxB

0	415_1	ABIE.BAL	0.435	364	2482
0	415_1	ACER.RUB	0.435	881	6425
0	415_1	ACER.SAH	0.418	1154	9235
0	415_1	BETU.ALL	0.435	847	6565
0	415_1	BETU.PAP	0.476	712	3849
0	415_1	FAGU.GRA	0.418	1032	10553
0	415_1	LARI.LAR	0.476	378	2983
0	415_1	PICE.GLA	0.418	1183	11969
0	415_1	PICE.MAR	0.386	1015	10426
0	415_1	PICE.RUB	0.386	556	4667
0	415_1	PINU.BAN	0.498	1329	9955
0	415_1	PINU.RES	0.455	1338	10588
0	415_1	PINU.STR	0.435	1016	8476
0	415_1	POPU.TRE	0.498	1292	7869
0	415_1	QUER.RUB	0.401	1652	15488
0	415_1	THUJ.SPP.ALL	0.386	695	6640
0	415_1	TSUG.CAN	0.359	687	7613
0	415_2	ABIE.BAL	0.435	346	2500
0	415_2	ACER.RUB	0.435	878	6481
0	415_2	ACER.SAH	0.418	979	9267
0	415_2	BETU.ALL	0.435	929	6678
0	415_2	BETU.PAP	0	0	0
0	415_2	FAGU.GRA	0.418	1023	10830
0	415_2	LARI.LAR	0.476	309	3047
0	415_2	PICE.GLA	0.418	1238	12146
0	415_2	PICE.MAR	0.386	925	10596
0	415_2	PICE.RUB	0.386	613	4828
0	415_2	PINU.BAN	0.498	1329	10002
0	415_2	PINU.RES	0.435	1264	10824
0	415_2	PINU.STR	0.435	1021	8517
0	415_2	POPU.TRE	0.498	1329	7994
0	415_2	QUER.RUB	0.401	1618	16248
0	415_2	THUJ.SPP.ALL	0.386	707	6763
0	415_2	TSUG.CAN	0.359	702	7409
0	415_3	ABIE.BAL	0.435	316	2474
0	415_3	ACER.RUB	0.435	852	6310
0	415_3	ACER.SAH	0.418	1032	9548
0	415_3	BETU.ALL	0.435	890	6583
0	415_3	BETU.PAP	0.476	662	3836
0	415_3	FAGU.GRA	0.418	1006	10361
0	415_3	LARI.LAR	0.476	327	7
0	415_3	PICE.GLA	0.418	1148	11908
0	415_3	PICE.MAR	0.386	979	10451
0	415_3	PICE.RUB	0.386	549	4652
0	415_3	PINU.BAN	0.498	1322	9972
0	415_3	PINU.RES	0.455	1203	10443
0	415_3	PINU.STR	0.435	1009	8792
0	415_3	POPU.TRE	0.498	1233	7986
0	415_3	QUER.RUB	0.401	1575	15887
0	415_3	THUJ.SPP.ALL	0.386	634	6646
0	415_3	TSUG.CAN	0.359	655	7371
0	415_4	ABIE.BAL	0.435	330	2484
0	415_4	ACER.RUB	0.435	845	6446
0	415_4	ACER.SAH	0.418	1177	9766
0	415_4	BETU.ALL	0.435	887	6545
0	415_4	BETU.PAP	0.476	704	3814
0	415_4	FAGU.GRA	0.418	1018	10835
0	415_4	LARI.LAR	0.476	354	2969
0	415_4	PICE.GLA	0.418	1168	12019
0	415_4	PICE.MAR	0.386	928	10368
0	415_4	PICE.RUB	0.386	727	4917
0	415_4	PINU.BAN	0.498	1336	10013
0	415_4	PINU.RES	0.455	1217	10958
0	415_4	PINU.STR	0.435	1014	8211
0	415_4	POPU.TRE	0.498	1299	7950
0	415_4	QUER.RUB	0.401	1658	15625
0	415_4	THUJ.SPP.ALL	0.386	656	7027
0	415_4	TSUG.CAN	0.359	712	7487
0	415_5	ABIE.BAL	0.435	382	2514
0	415_5	ACER.RUB	0.435	860	6411
0	415_5	ACER.SAH	0.418	1032	9555
0	415_5	BETU.ALL	0.418	917	6798
0	415_5	BETU.PAP	0.476	676	3816
0	415_5	FAGU.GRA	0.418	1018	10578
0	415_5	LARI.LAR	0.476	351	3060
0	415_5	PICE.GLA	0.418	1178	12174
0	415_5	PICE.MAR	0.386	955	10350
0	415_5	PICE.RUB	0.386	600	4716
0	415_5	PINU.BAN	0.498	1333	9968
0	415_5	PINU.RES	0.435	1253	10690
0	415_5	PINU.STR	0.435	1011	8408
0	415_5	POPU.TRE	0.498	1265	7982
0	415_5	QUER.RUB	0.401	1827	15837
0	415_5	THUJ.SPP.ALL	0.386	701	6857
0	415_5	TSUG.CAN	0.359	692	7688
0	418_1	ABIE.BAL	0.435	407	2628
0	418_1	ACER.RUB	0.435	881	6323
0	418_1	ACER.SAH	0.418	1228	9206
0	418_1	BETU.ALL	0.435	886	6529
0	418_1	BETU.PAP	0.476	695	3823
0	418_1	FAGU.GRA	0.418	1029	11011
0	418_1	LARI.LAR	0.476	311	3186
0	418_1	PICE.GLA	0.418	1169	12073
0	418_1	PICE.MAR	0.386	972	10604
0	418_1	PICE.RUB	0.386	606	4873
0	418_1	PINU.BAN	0.476	1366	9982
0	418_1	PINU.RES	0.455	1282	10858
0	418_1	PINU.STR	0.435	1026	8634
0	418_1	POPU.TRE	0.498	1264	7997
0	418_1	QUER.RUB	0.401	1800	16738
0	418_1	THUJ.SPP.ALL	0.386	740	6829
0	418_1	TSUG.CAN	0.359	720	7404
0	418_2	ABIE.BAL	0.435	353	2528
0	418_2	ACER.RUB	0.435	809	6296
0	418_2	ACER.SAH	0.418	1071	9605
0	418_2	BETU.ALL	0.418	877	6367
0	418_2	BETU.PAP	0.476	642	3730
0	418_2	FAGU.GRA	0.418	913	10854
0	418_2	LARI.LAR	0.476	292	3104
0	418_2	PICE.GLA	0.418	1093	11439
